date,nav,scheme_name,scheme_code
11-06-2026,192.67220,HDFC_Top100_Direct,125497
10-06-2026,193.43710,HDFC_Top100_Direct,125497
09-06-2026,194.38130,HDFC_Top100_Direct,125497
08-06-2026,191.90920,HDFC_Top100_Direct,125497
05-06-2026,194.75470,HDFC_Top100_Direct,125497
04-06-2026,194.52200,HDFC_Top100_Direct,125497
03-06-2026,194.08100,HDFC_Top100_Direct,125497
02-06-2026,193.12950,HDFC_Top100_Direct,125497
01-06-2026,192.31950,HDFC_Top100_Direct,125497
31-05-2026,193.68360,HDFC_Top100_Direct,125497
29-05-2026,193.68480,HDFC_Top100_Direct,125497
27-05-2026,195.05010,HDFC_Top100_Direct,125497
26-05-2026,194.22580,HDFC_Top100_Direct,125497
25-05-2026,193.55990,HDFC_Top100_Direct,125497
22-05-2026,192.12270,HDFC_Top100_Direct,125497
21-05-2026,191.75750,HDFC_Top100_Direct,125497
20-05-2026,189.86610,HDFC_Top100_Direct,125497
19-05-2026,189.55530,HDFC_Top100_Direct,125497
18-05-2026,187.91260,HDFC_Top100_Direct,125497
15-05-2026,190.24050,HDFC_Top100_Direct,125497
14-05-2026,189.93450,HDFC_Top100_Direct,125497
13-05-2026,190.46400,HDFC_Top100_Direct,125497
12-05-2026,190.61520,HDFC_Top100_Direct,125497
11-05-2026,195.58600,HDFC_Top100_Direct,125497
08-05-2026,196.88210,HDFC_Top100_Direct,125497
07-05-2026,197.47530,HDFC_Top100_Direct,125497
06-05-2026,196.00360,HDFC_Top100_Direct,125497
05-05-2026,194.56180,HDFC_Top100_Direct,125497
04-05-2026,195.44690,HDFC_Top100_Direct,125497
30-04-2026,193.41310,HDFC_Top100_Direct,125497
29-04-2026,194.15230,HDFC_Top100_Direct,125497
28-04-2026,193.48430,HDFC_Top100_Direct,125497
27-04-2026,193.83170,HDFC_Top100_Direct,125497
24-04-2026,191.04250,HDFC_Top100_Direct,125497
23-04-2026,193.03170,HDFC_Top100_Direct,125497
22-04-2026,194.19280,HDFC_Top100_Direct,125497
21-04-2026,192.63970,HDFC_Top100_Direct,125497
20-04-2026,191.05830,HDFC_Top100_Direct,125497
17-04-2026,190.52420,HDFC_Top100_Direct,125497
16-04-2026,188.33160,HDFC_Top100_Direct,125497
15-04-2026,187.27860,HDFC_Top100_Direct,125497
13-04-2026,184.34910,HDFC_Top100_Direct,125497
10-04-2026,184.69670,HDFC_Top100_Direct,125497
09-04-2026,181.24550,HDFC_Top100_Direct,125497
08-04-2026,180.57830,HDFC_Top100_Direct,125497
07-04-2026,174.83420,HDFC_Top100_Direct,125497
06-04-2026,174.91510,HDFC_Top100_Direct,125497
02-04-2026,173.84710,HDFC_Top100_Direct,125497
01-04-2026,173.78200,HDFC_Top100_Direct,125497
31-03-2026,169.37060,HDFC_Top100_Direct,125497
30-03-2026,169.37080,HDFC_Top100_Direct,125497
27-03-2026,172.47390,HDFC_Top100_Direct,125497
25-03-2026,175.42110,HDFC_Top100_Direct,125497
24-03-2026,172.00490,HDFC_Top100_Direct,125497
23-03-2026,169.10910,HDFC_Top100_Direct,125497
20-03-2026,174.62050,HDFC_Top100_Direct,125497
19-03-2026,173.90040,HDFC_Top100_Direct,125497
18-03-2026,177.49080,HDFC_Top100_Direct,125497
17-03-2026,174.06280,HDFC_Top100_Direct,125497
16-03-2026,173.81980,HDFC_Top100_Direct,125497
13-03-2026,173.97540,HDFC_Top100_Direct,125497
12-03-2026,177.98880,HDFC_Top100_Direct,125497
11-03-2026,178.38910,HDFC_Top100_Direct,125497
10-03-2026,178.84190,HDFC_Top100_Direct,125497
09-03-2026,175.77420,HDFC_Top100_Direct,125497
06-03-2026,178.97840,HDFC_Top100_Direct,125497
05-03-2026,179.32390,HDFC_Top100_Direct,125497
04-03-2026,177.99610,HDFC_Top100_Direct,125497
02-03-2026,181.31750,HDFC_Top100_Direct,125497
28-02-2026,184.75790,HDFC_Top100_Direct,125497
27-02-2026,184.75810,HDFC_Top100_Direct,125497
26-02-2026,186.09500,HDFC_Top100_Direct,125497
25-02-2026,186.04880,HDFC_Top100_Direct,125497
24-02-2026,186.20800,HDFC_Top100_Direct,125497
23-02-2026,187.57210,HDFC_Top100_Direct,125497
20-02-2026,186.22280,HDFC_Top100_Direct,125497
19-02-2026,186.66660,HDFC_Top100_Direct,125497
18-02-2026,188.21280,HDFC_Top100_Direct,125497
17-02-2026,187.64370,HDFC_Top100_Direct,125497
16-02-2026,185.84710,HDFC_Top100_Direct,125497
13-02-2026,187.23600,HDFC_Top100_Direct,125497
12-02-2026,189.60290,HDFC_Top100_Direct,125497
11-02-2026,189.74640,HDFC_Top100_Direct,125497
10-02-2026,189.01900,HDFC_Top100_Direct,125497
09-02-2026,188.46900,HDFC_Top100_Direct,125497
06-02-2026,184.62700,HDFC_Top100_Direct,125497
05-02-2026,185.69490,HDFC_Top100_Direct,125497
04-02-2026,186.77740,HDFC_Top100_Direct,125497
03-02-2026,186.70090,HDFC_Top100_Direct,125497
02-02-2026,180.54240,HDFC_Top100_Direct,125497
31-01-2026,183.30100,HDFC_Top100_Direct,125497
30-01-2026,183.30210,HDFC_Top100_Direct,125497
29-01-2026,179.94080,HDFC_Top100_Direct,125497
28-01-2026,181.08730,HDFC_Top100_Direct,125497
27-01-2026,179.55150,HDFC_Top100_Direct,125497
23-01-2026,179.80350,HDFC_Top100_Direct,125497
22-01-2026,182.75440,HDFC_Top100_Direct,125497
21-01-2026,181.53250,HDFC_Top100_Direct,125497
20-01-2026,181.83500,HDFC_Top100_Direct,125497
19-01-2026,185.40420,HDFC_Top100_Direct,125497
16-01-2026,186.97190,HDFC_Top100_Direct,125497
14-01-2026,187.33750,HDFC_Top100_Direct,125497
13-01-2026,187.65940,HDFC_Top100_Direct,125497
12-01-2026,186.18370,HDFC_Top100_Direct,125497
09-01-2026,187.09710,HDFC_Top100_Direct,125497
08-01-2026,190.16000,HDFC_Top100_Direct,125497
07-01-2026,193.31730,HDFC_Top100_Direct,125497
06-01-2026,193.70270,HDFC_Top100_Direct,125497
05-01-2026,194.37860,HDFC_Top100_Direct,125497
02-01-2026,194.57400,HDFC_Top100_Direct,125497
01-01-2026,193.64170,HDFC_Top100_Direct,125497
31-12-2025,193.77240,HDFC_Top100_Direct,125497
30-12-2025,191.95010,HDFC_Top100_Direct,125497
29-12-2025,192.54100,HDFC_Top100_Direct,125497
26-12-2025,192.59130,HDFC_Top100_Direct,125497
24-12-2025,193.28480,HDFC_Top100_Direct,125497
23-12-2025,193.26520,HDFC_Top100_Direct,125497
22-12-2025,192.25730,HDFC_Top100_Direct,125497
19-12-2025,191.11570,HDFC_Top100_Direct,125497
18-12-2025,189.54200,HDFC_Top100_Direct,125497
17-12-2025,190.06210,HDFC_Top100_Direct,125497
16-12-2025,191.31430,HDFC_Top100_Direct,125497
15-12-2025,193.13250,HDFC_Top100_Direct,125497
12-12-2025,192.33770,HDFC_Top100_Direct,125497
11-12-2025,191.49520,HDFC_Top100_Direct,125497
10-12-2025,191.25570,HDFC_Top100_Direct,125497
09-12-2025,191.35730,HDFC_Top100_Direct,125497
08-12-2025,190.15910,HDFC_Top100_Direct,125497
05-12-2025,193.14510,HDFC_Top100_Direct,125497
04-12-2025,193.45990,HDFC_Top100_Direct,125497
03-12-2025,194.33550,HDFC_Top100_Direct,125497
02-12-2025,194.43120,HDFC_Top100_Direct,125497
01-12-2025,195.36260,HDFC_Top100_Direct,125497
30-11-2025,194.97900,HDFC_Top100_Direct,125497
28-11-2025,194.97840,HDFC_Top100_Direct,125497
27-11-2025,195.14900,HDFC_Top100_Direct,125497
26-11-2025,195.85550,HDFC_Top100_Direct,125497
25-11-2025,194.20420,HDFC_Top100_Direct,125497
24-11-2025,193.90920,HDFC_Top100_Direct,125497
21-11-2025,194.25170,HDFC_Top100_Direct,125497
20-11-2025,196.07320,HDFC_Top100_Direct,125497
19-11-2025,196.52800,HDFC_Top100_Direct,125497
18-11-2025,196.94780,HDFC_Top100_Direct,125497
17-11-2025,197.92120,HDFC_Top100_Direct,125497
14-11-2025,197.06760,HDFC_Top100_Direct,125497
13-11-2025,196.54650,HDFC_Top100_Direct,125497
12-11-2025,196.88400,HDFC_Top100_Direct,125497
11-11-2025,196.44860,HDFC_Top100_Direct,125497
10-11-2025,196.24510,HDFC_Top100_Direct,125497
07-11-2025,197.31500,HDFC_Top100_Direct,125497
06-11-2025,197.80320,HDFC_Top100_Direct,125497
04-11-2025,200.46780,HDFC_Top100_Direct,125497
03-11-2025,200.97090,HDFC_Top100_Direct,125497
31-10-2025,199.82340,HDFC_Top100_Direct,125497
30-10-2025,200.51850,HDFC_Top100_Direct,125497
29-10-2025,201.03750,HDFC_Top100_Direct,125497
28-10-2025,200.63480,HDFC_Top100_Direct,125497
27-10-2025,199.79650,HDFC_Top100_Direct,125497
24-10-2025,198.41150,HDFC_Top100_Direct,125497
23-10-2025,198.75210,HDFC_Top100_Direct,125497
20-10-2025,197.52580,HDFC_Top100_Direct,125497
17-10-2025,197.10750,HDFC_Top100_Direct,125497
16-10-2025,196.95210,HDFC_Top100_Direct,125497
15-10-2025,194.70000,HDFC_Top100_Direct,125497
14-10-2025,193.39750,HDFC_Top100_Direct,125497
13-10-2025,194.53640,HDFC_Top100_Direct,125497
10-10-2025,195.11850,HDFC_Top100_Direct,125497
09-10-2025,195.03760,HDFC_Top100_Direct,125497
08-10-2025,195.85870,HDFC_Top100_Direct,125497
07-10-2025,196.42940,HDFC_Top100_Direct,125497
06-10-2025,196.54830,HDFC_Top100_Direct,125497
03-10-2025,196.29650,HDFC_Top100_Direct,125497
01-10-2025,195.08560,HDFC_Top100_Direct,125497
30-09-2025,193.88220,HDFC_Top100_Direct,125497
26-09-2025,194.09730,HDFC_Top100_Direct,125497
25-09-2025,197.34470,HDFC_Top100_Direct,125497
24-09-2025,198.88610,HDFC_Top100_Direct,125497
23-09-2025,199.45730,HDFC_Top100_Direct,125497
22-09-2025,200.25390,HDFC_Top100_Direct,125497
19-09-2025,201.30600,HDFC_Top100_Direct,125497
18-09-2025,201.54470,HDFC_Top100_Direct,125497
17-09-2025,201.82000,HDFC_Top100_Direct,125497
16-09-2025,201.17950,HDFC_Top100_Direct,125497
15-09-2025,200.09670,HDFC_Top100_Direct,125497
12-09-2025,199.07160,HDFC_Top100_Direct,125497
11-09-2025,198.98350,HDFC_Top100_Direct,125497
10-09-2025,198.70750,HDFC_Top100_Direct,125497
09-09-2025,198.24440,HDFC_Top100_Direct,125497
08-09-2025,197.44800,HDFC_Top100_Direct,125497
05-09-2025,197.59390,HDFC_Top100_Direct,125497
04-09-2025,197.68870,HDFC_Top100_Direct,125497
03-09-2025,197.63250,HDFC_Top100_Direct,125497
02-09-2025,196.23670,HDFC_Top100_Direct,125497
01-09-2025,195.73430,HDFC_Top100_Direct,125497
31-08-2025,193.75370,HDFC_Top100_Direct,125497
29-08-2025,193.75320,HDFC_Top100_Direct,125497
28-08-2025,194.48930,HDFC_Top100_Direct,125497
26-08-2025,195.59460,HDFC_Top100_Direct,125497
25-08-2025,198.78050,HDFC_Top100_Direct,125497
22-08-2025,199.11560,HDFC_Top100_Direct,125497
21-08-2025,200.05540,HDFC_Top100_Direct,125497
20-08-2025,198.84770,HDFC_Top100_Direct,125497
19-08-2025,198.03890,HDFC_Top100_Direct,125497
18-08-2025,196.92030,HDFC_Top100_Direct,125497
14-08-2025,193.41310,HDFC_Top100_Direct,125497
13-08-2025,192.92220,HDFC_Top100_Direct,125497
12-08-2025,192.70500,HDFC_Top100_Direct,125497
11-08-2025,193.15840,HDFC_Top100_Direct,125497
08-08-2025,191.95750,HDFC_Top100_Direct,125497
07-08-2025,193.00640,HDFC_Top100_Direct,125497
06-08-2025,193.57560,HDFC_Top100_Direct,125497
05-08-2025,194.97310,HDFC_Top100_Direct,125497
04-08-2025,195.65360,HDFC_Top100_Direct,125497
01-08-2025,194.95480,HDFC_Top100_Direct,125497
31-07-2025,197.48900,HDFC_Top100_Direct,125497
30-07-2025,198.45080,HDFC_Top100_Direct,125497
29-07-2025,197.81460,HDFC_Top100_Direct,125497
28-07-2025,197.46290,HDFC_Top100_Direct,125497
25-07-2025,199.43490,HDFC_Top100_Direct,125497
24-07-2025,202.72100,HDFC_Top100_Direct,125497
23-07-2025,203.90430,HDFC_Top100_Direct,125497
22-07-2025,203.37140,HDFC_Top100_Direct,125497
21-07-2025,203.80280,HDFC_Top100_Direct,125497
18-07-2025,204.03560,HDFC_Top100_Direct,125497
17-07-2025,204.90430,HDFC_Top100_Direct,125497
16-07-2025,203.68350,HDFC_Top100_Direct,125497
15-07-2025,203.92680,HDFC_Top100_Direct,125497
14-07-2025,202.01890,HDFC_Top100_Direct,125497
11-07-2025,201.26060,HDFC_Top100_Direct,125497
10-07-2025,201.59850,HDFC_Top100_Direct,125497
09-07-2025,201.32870,HDFC_Top100_Direct,125497
08-07-2025,200.43960,HDFC_Top100_Direct,125497
07-07-2025,200.32350,HDFC_Top100_Direct,125497
04-07-2025,200.67620,HDFC_Top100_Direct,125497
03-07-2025,200.01860,HDFC_Top100_Direct,125497
02-07-2025,199.34090,HDFC_Top100_Direct,125497
01-07-2025,200.26720,HDFC_Top100_Direct,125497
30-06-2025,200.31780,HDFC_Top100_Direct,125497
27-06-2025,198.06880,HDFC_Top100_Direct,125497
26-06-2025,197.22860,HDFC_Top100_Direct,125497
25-06-2025,197.44050,HDFC_Top100_Direct,125497
24-06-2025,194.48380,HDFC_Top100_Direct,125497
23-06-2025,192.97300,HDFC_Top100_Direct,125497
20-06-2025,192.58720,HDFC_Top100_Direct,125497
19-06-2025,192.15350,HDFC_Top100_Direct,125497
18-06-2025,194.74980,HDFC_Top100_Direct,125497
17-06-2025,194.49760,HDFC_Top100_Direct,125497
16-06-2025,194.31170,HDFC_Top100_Direct,125497
13-06-2025,193.87020,HDFC_Top100_Direct,125497
12-06-2025,194.31590,HDFC_Top100_Direct,125497
11-06-2025,196.31550,HDFC_Top100_Direct,125497
10-06-2025,196.32030,HDFC_Top100_Direct,125497
09-06-2025,196.22680,HDFC_Top100_Direct,125497
06-06-2025,194.43670,HDFC_Top100_Direct,125497
05-06-2025,193.46220,HDFC_Top100_Direct,125497
04-06-2025,193.32410,HDFC_Top100_Direct,125497
03-06-2025,193.35580,HDFC_Top100_Direct,125497
02-06-2025,193.01410,HDFC_Top100_Direct,125497
31-05-2025,192.67840,HDFC_Top100_Direct,125497
30-05-2025,192.67720,HDFC_Top100_Direct,125497
29-05-2025,192.49060,HDFC_Top100_Direct,125497
