amfi_code,date,nav,scheme_name,fund_house,category
100016,2023-05-29,561.5519,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-05-30,565.9312,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-05-31,562.059,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-01,565.0931,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-02,563.6716,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-03,563.6716,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-04,563.6716,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-05,563.3934,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-06,564.4191,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-07,560.929,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-08,562.2606,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-09,570.1945,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-10,570.1945,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-11,570.1945,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-12,566.5874,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-13,572.7685,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-14,580.6856,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-15,576.8184,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-16,569.7576,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-17,569.7576,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-18,569.7576,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-19,571.5717,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-20,569.1125,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-21,578.8674,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-22,579.3439,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-23,575.5565,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-24,575.5565,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-25,575.5565,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-26,570.057,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-27,575.8598,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-28,573.262,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-29,573.7795,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-06-30,578.9351,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-01,578.9351,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-02,578.9351,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-03,576.7654,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-04,576.8293,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-05,577.0426,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-06,580.8301,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
100016,2023-07-07,584.1654,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
